gene,normal_n,normal_mean,normal_sd,normal_sd_used
BIRC2,113,11.313077876106194,0.3662254413352015,0.3662254413352015
EIF6,113,11.286677876106195,0.3915566378787076,0.3915566378787076
CTD-2561B21.10,113,0.15777345132743362,0.3486634265350476,0.3486634265350476
LINC00974,113,1.3836123893805305,1.2264004939057533,1.2264004939057533
LINC00977,113,0.19129115044247785,0.4169952182745544,0.4169952182745544
RP11-320J16.1,113,0.014676991150442477,0.11488070598983594,0.11488070598983594
LINC00971,113,0.08630884955752213,0.29593971289941146,0.29593971289941146
LINC00970,113,0.07773008849557522,0.24547013961731087,0.24547013961731087
LINC00973,113,0.2920185840707965,0.5123773294912146,0.5123773294912146
LINC00972,113,0.005838053097345132,0.06205935568726593,0.06205935568726593
ANKRD16,113,7.860170796460176,0.4356029082698025,0.4356029082698025
ANKRD17,113,12.360492035398229,0.5626824015599603,0.5626824015599603
AC074286.1,113,6.447526548672563,0.5329785967991751,0.5329785967991751
ANKRD12,113,11.415852212389382,0.6314384403454976,0.6314384403454976
ANKRD10,113,11.032693805309732,0.32806302864671394,0.32806302864671394
MKX,113,6.555390265486727,1.3542777210409853,1.3542777210409853
AC108059.1,113,0.0,0.0,1e-08
MIR1269A,113,0.0,0.0,1e-08
AC092535.3,113,1.7255442477876104,0.9655319917702341,0.9655319917702341
RP11-791O21.5,113,0.08233362831858407,0.29228597774715537,0.29228597774715537
AC015969.3,113,0.10486017699115045,0.29887240724209163,0.29887240724209163
RP11-288C17.3,113,0.0,0.0,1e-08
RP11-288C17.1,113,0.3517761061946903,0.6946540192625102,0.6946540192625102
RNU6-882P,113,0.009569911504424778,0.10172955470700219,0.10172955470700219
CTD-2576D5.2,113,0.0,0.0,1e-08
RN7SL625P,113,0.01227787610619469,0.09248618500553135,0.09248618500553135
NT5C2,113,11.318484955752213,0.4100498990151858,0.4100498990151858
GRAMD4P4,113,0.014298230088495574,0.10704458515555636,0.10704458515555636
MEA1,113,10.444389380530975,0.35769372881869205,0.35769372881869205
RP11-530N7.2,113,1.9528707964601768,1.1620643782634523,1.1620643782634523
GRAMD4P6,113,0.029730088495575218,0.12109736776435887,0.12109736776435887
MNS1,113,7.194205309734511,0.4840141840160243,0.4840141840160243
SPATA31A7,113,0.20553893805309728,0.4446704352329833,0.4446704352329833
RP11-482G13.1,113,1.0335557522123893,1.0345683447645873,1.0345683447645873
CTD-2576D5.1,113,0.5544141592920354,0.7148565696381808,0.7148565696381808
SNORD22,113,0.19537168141592923,0.3859953158184109,0.3859953158184109
KRTAP4-11,113,0.10568761061946903,0.3385325343440693,0.3385325343440693
KRTAP4-12,113,0.013484070796460178,0.1009522682176119,0.1009522682176119
OR7E19P,113,0.01004778761061947,0.07521004527481821,0.07521004527481821
