Tree,unique_gene_count,genes
38,61,ADCK5|AHCTF1|ANO1|BAALC|BAG4|BCL9|C8orf86|CDC42BPA|CDH1|COL14A1|CSMD1|DNAH14|EMC2|EPPK1|GATA3|GPR137B|HHLA1|HMCN1|HSF1|KCNQ3|KCNU1|KHDRBS3|LRRC6|MATN2|MYEOV|NDUFB9|NLRP3|NOTCH2|NSMCE2|OR2AK2|OR2C3|OR2G2|OR2L2|OR2L3|OR2T1|OR2T2|OXR1|PIK3CA|POU5F1B|PPFIA1|PTK2|PVT1|RAD21|RAD54B|RGS7|RIMS2|RYR2|SETDB1|SPTA1|TAF2|TCHH|TFB2M|TP53|TRIM67|TRPS1|TTN|UBR5|USH2A|WISP1|ZFPM2|ZNF670
39,70,ADAMTSL4|ADCK5|ADSS|AHCTF1|ANO1|ASAP1|BAALC|BAG4|CDH1|CDH17|CEP170|COL22A1|CSMD1|CSMD3|DCAF13|DENND3|DNAH14|EFR3A|EIF3H|ERLIN2|ESRP1|GATA3|GLI4|GRHL2|GSDMC|HMCN1|INTS8|LINC00536|LINC00861|MYEOV|NDUFB9|NOTCH2|OBSCN|OR2L13|OR2L3|OR2T1|OR2T2|OR2T3|OR2T34|ORAOV1|PCNXL2|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PVT1|RAB11FIP1|RAD54B|RIMS2|RUNX1T1|RYR2|SLC26A7|SPAG1|SPTA1|TACC1|TARBP1|TCHH|TG|TMEM74|TP53|TRIM58|TRIQK|UBR5|USH2A|VPS13B|ZFPM2|ZNF496|ZNF670|ZP4
40,72,ADCY8|ADSS|ANO1|BAALC|BAG4|BAI1|CA14|CDH1|COL14A1|CPSF1|CSMD1|DENND3|DNAH14|DPY19L4|DSCC1|EFR3A|ERBB2|FAM135B|FAM49B|FLG|GATA3|GDF6|GPR137B|HSF1|KCNQ3|KCNU1|LYST|MATN2|MIR548AA1|MTSS1|MYC|MYEOV|OR14A16|OR14K1|OR2AK2|OR2C3|OR2L2|OR2T2|OR2T27|ORAOV1|OXR1|PDE4DIP|PIK3CA|PLD5|PLEKHA6|PVT1|RAB11FIP1|RIMS2|RN7SL350P|RUNX1T1|RYR2|SETDB1|SHANK2|SLC26A7|SLC52A2|SNX31|SPTA1|TAF2|TBC1D31|TCHH|TG|TP53|TP53INP1|TRIM67|TRIQK|TRPS1|TTN|USH2A|VPS13B|ZFAT|ZFPM2|ZP4
41,60,ADAMTSL4|ADCK5|ADSS|AHCTF1|ASH1L|ATP6V1C1|BCL9|CCAT1|CDC42BPA|CDH1|DNAH14|DSCC1|EFR3A|EMC2|ERLIN2|FER1L6|FLG|FMN2|GPR137B|GRHL2|HHLA1|KCNK9|KCNQ3|KHDRBS3|MTSS1|MYEOV|NOTCH2|OBSCN|OR14I1|OR2C3|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PHF20L1|PIK3CA|PKHD1L1|PLD5|PROSC|PVT1|RGS22|RIMS2|RN7SKP226|RYR2|SDCCAG8|SHANK2|TBC1D31|TFB2M|TP53|TRAPPC9|TRPS1|TSPYL5|TTN|USH2A|ZNF250|ZNF251|ZNF623|ZP4|snoU13|ENSG00000238372.1
42,60,ADSS|AKT3|ANO1|ARID4B|BAG4|BAI1|CDC42BPA|CDH1|CNBD1|COA6|COL22A1|CSMD1|CSMD3|DENND3|ERBB2|ERLIN2|FLG|FMN2|GATA3|GDF6|GPR137B|GSDMC|HEATR1|IRF2BP2|LYST|MAPK15|MYC|MYEOV|NDUFB9|NIPAL2|NLRP3|NOV|OBSCN|OR14K1|OR2AK2|OR2C3|OR2T2|ORAOV1|OXR1|PHF20L1|PIK3CA|PLD5|PLEKHA6|POU5F1B|PVT1|RAB11FIP1|RAD21|RYR2|SLC30A8|SLC52A2|SPTA1|TARBP1|TBC1D31|TP53|TRPS1|TTN|USH2A|ZFAT|ZFPM2|ZNF670
43,62,ADCK5|ARC|ATP6V1C1|BAALC|BAI1|CCDC166|CDC42BPA|CDH1|COL14A1|CPQ|CSMD1|CYP11B1|DENND3|DNAH14|EPPK1|ERBB2|FGF4|FLG|GLI4|GPR137B|GRHL2|HMCN1|HSF1|IRF2BP2|KHDRBS3|LINC00536|MIR30D|MROH6|MTSS1|MYC|NOTCH2|NRBP2|OR2C3|OR2L3|OR2T1|OR2T2|OR2T3|OR2T33|OR2T4|ORAOV1|PCNXL2|PDE4DIP|PIK3CA|PLEC|RIMS2|RN7SKP226|RN7SL350P|RNF139|SDC2|SHANK2|SLC52A2|SPTA1|TACC1|TARBP1|TCHH|TFB2M|TP53|TRIB1|TRIM67|USH2A|ZFPM2|ZNF251
44,63,ABRA|ACTN2|ADCK5|ADSS|ARC|ATAD2|BAALC|BAG4|BCL9|C8orf47|CA14|CDH1|CPSF1|CYP11B1|EIF3H|ENPP2|ERBB2|ERLIN2|FLG|FMN2|GATA3|GDF6|GPR137B|HEATR1|HHLA1|HMCN1|INTS8|MIR30D|MYEOV|NDUFB9|NOTCH2|NOV|OBSCN|OR2L13|OR2T2|PIK3CA|PLEKHA6|PLEKHF2|PVT1|RAB11FIP1|RAD54B|RGS22|RIMS2|RN7SL350P|RUNX1T1|SDCCAG8|SLC26A7|SNX31|TACC1|TARBP1|TARS2|TMEM71|TMEM74|TP53|TRAPPC9|TRIM67|TRIQK|TRPS1|TTN|USH2A|WHSC1L1|ZFPM2|ZP4
45,64,ADCY8|ADSS|BAI1|BCL9|CDH1|CDH17|CEP170|CNBD1|COL14A1|CSMD1|CYP11B2|DENND3|DNAH14|DPY19L4|EIF3H|EPPK1|ERBB2|ERLIN2|EXO1|FMN2|GATA3|HMCN1|KCNQ3|KCNV1|KMO|MAPK15|MIR30D|MROH6|MYEOV|NECAB1|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2L13|OR2L3|OR2T2|OR2T27|OR2T3|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLEC|PLEKHA6|PVT1|RAB11FIP1|RAD54B|RIMS2|RN7SL350P|RYR2|SNX31|SPTA1|TARBP1|TFB2M|TMEM74|TP53|TP53INP1|TRIQK|TRPS1|TTN|USH2A|VPS13B|ZFPM2
46,64,ADCK5|ADSS|AHCTF1|ANO1|BAALC|BAG4|CA14|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|DENND3|EFR3A|ENPP2|ERBB2|ERLIN2|EXO1|FAM135B|FER1L6|FGF4|FLG|GATA3|GLI4|GPR137B|GRHL2|GSDMC|HEATR1|HHLA1|LINC00536|NDUFB9|NLRP3|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2C3|OR2L13|OR2T1|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PCAT1|PIK3CA|PKHD1L1|PLD5|PLEKHA6|POU5F1B|PPFIA1|PVT1|RNF139|RYR2|SHANK2|TCHH|TFB2M|TG|TP53|TRIM67|ZFPM2|ZNF670|ZNF695|snoU13|ENSG00000238372.1
47,62,AHCTF1|ANO1|ARC|ARID4B|BAG4|CA14|CDH1|COL22A1|CSMD1|CSMD3|CYP11B2|DENND3|DNAH14|EFR3A|EPPK1|ERBB2|ERLIN2|EXO1|FAM135B|FER1L6|FGF4|FGFR1|FLG|FLG2|GATA3|HMCN1|HSF1|KCNQ3|KCNU1|KMO|MYEOV|NDUFB9|NOTCH2|OBSCN|OR13G1|OR2C3|OR2T12|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PCAT1|PIK3CA|PLD5|PLEC|PLEKHA6|RAD54B|RGS7|RIMS2|RUNX1T1|RYR2|SHANK2|SPTA1|TMEM74|TMEM75|TP53|TRPS1|TTN|USH2A|ZNF670|ZP4
48,50,ADCK5|AHCTF1|ARHGAP39|BAALC|BAI1|CDC42BPA|CDH1|COL22A1|CSMD3|CYP11B1|DENND3|FAM49B|GLI4|GPR124|GPR137B|HMCN1|HSF1|KHDRBS3|NOTCH2|OBSCN|OR2C3|OR2G6|OR2L3|OR2T1|OR2T3|OXR1|PCAT1|PCNXL2|PIK3CA|PLEKHA6|POU5F1B|PVT1|RIMS2|RYR2|SCCPDH|SH3BP5L|SLC26A7|SLC39A4|SLC45A4|SLC52A2|TARBP1|TCHH|TP53|TRIM67|TRPS1|TTN|UBR5|USH2A|VPS13B|ZNF7
49,58,ADCK5|AGO2|ANO1|ASH1L|BAG4|CDH1|CEP170|CNBD1|COL22A1|CPQ|CSMD1|DDHD2|DNAH14|EFR3A|EPPK1|ERBB2|ERLIN2|FAM49B|FMN2|GATA3|GLI4|GPR124|GRHL2|HMCN1|KCNQ3|KCNU1|LYST|MAL2|MROH5|MTSS1|MYC|MYEOV|NDUFB9|NOTCH2|OPLAH|OR2T2|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLD5|PLEC|PPFIA1|PVT1|RAB11FIP1|RAD54B|RN7SL350P|SDCCAG8|SETDB1|TARBP1|TBC1D31|TMEM75|TP53|TRAPPC9|TTN|USH2A|ZFAT|ZFPM2
50,72,ADCK5|ARHGAP39|ARID4B|ATP6V1C1|BAALC|BAG4|CCAT1|CDC42BPA|CDH1|CNBD1|COL22A1|COX6C|CPSF1|CSMD1|CSMD3|DENND3|ERLIN2|FAM135B|FAM49B|FLG|GATA3|GDF6|GLI4|GPR137B|GRHL2|INTS8|IRF2BP2|KCNU1|MIR1207|MTSS1|MYEOV|NCALD|NDUFB9|NOTCH2|NSMCE2|OBSCN|OR2AK2|OR2T1|OR2T2|OR2T3|OR2T33|OR2T34|OXR1|PIK3CA|PKHD1L1|PLEC|PPFIA1|PVT1|RAB11FIP1|RAD21|RAD54B|RIMS2|RUNX1T1|SHANK2|SLC26A7|SLC52A2|SPTA1|TACC1|TCHH|TG|TP53|TRAPPC9|TRHR|TRPS1|TSPYL5|TTN|ZFPM2|ZHX1|ZNF251|ZNF670|ZP4|snoU13|ENSG00000238901.1
51,68,ADCY8|AHCTF1|ANO1|ATP6V1C1|CA14|CCDC166|CDC42BPA|CDH1|COL22A1|CPQ|CSMD1|CSMD3|CYP11B1|DCAF13|DENND3|DNAH14|ECM1|EFR3A|EPPK1|ERLIN2|GATA3|GEM|GLI4|GPR137B|GRHL2|HHLA1|HMCN1|IRF2BP2|KCNQ3|KCNU1|KIAA0196|MIR30D|MIR5194|MYC|MYEOV|NDUFB9|NID1|NLRP3|NOTCH2|OBSCN|OR2AK2|OR2T2|OR2T3|OR2T33|ORAOV1|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|PVT1|RAB11FIP1|RAD54B|RIMS2|RYR2|SDC2|SLC26A7|SPTA1|TACC1|TARS2|TCHH|TMEM71|TMEM75|TP53|TRPS1|TTN|VPS13B|ZNF695
52,66,AHCTF1|ANO1|ARID4B|ASH1L|ATAD2|BAG4|CDH1|CNBD1|CSMD1|CSMD3|CYP11B2|DENND3|DNAH14|EFR3A|ENPP2|ERBB2|ESRP1|EXO1|FER1L6|FLG|GATA3|GPR137B|HSF1|INTS8|KCNQ3|KCNU1|MIR548A3|MYEOV|NDUFB9|NID1|OBSCN|OPLAH|OR2AK2|OR2C3|OR2L3|OR2T1|OR2T2|OR2T33|OR2T34|ORAOV1|PCNXL2|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|POU5F1B|PPFIA1|RAB11FIP1|RAD54B|RYR2|SDCCAG8|SLC26A7|SNORA25|ENSG00000251744.1|SNTB1|TARBP1|TCHH|TFB2M|TMEM74|TP53|TRPS1|TSNARE1|TTN|ZNF670|ZP4
53,57,ADCY8|ADSS|AHCTF1|ARID4B|BAALC|BAG4|CA14|CDH1|CSMD1|CSMD3|DENND3|DNAH14|EFR3A|EPPK1|ERBB2|ESRP1|FLG|GATA3|GRHL2|INTS8|KCNU1|LYST|MYEOV|NDUFB9|NLRP3|NOTCH2|OR2AK2|OR2C3|OR2L3|OR2T2|OXR1|PDE4DIP|PIK3CA|PKHD1L1|POU5F1B|PPFIA1|RAB11FIP1|RAD21|RGS22|RIMS2|RN7SKP153|RN7SL350P|SHANK2|SNX31|SPTA1|SYBU|TARBP1|TCHH|TMEM74|TMEM75|TP53|TRPS1|TSPYL5|TTN|VPS13B|ZFAT|ZFPM2
54,72,AHCTF1|ANGPT1|ANO1|BAG4|BCL9|CA14|CCND1|CDC42BPA|CDH1|CNBD1|COL14A1|COL22A1|CSMD1|CSMD3|CYP11B1|CYP11B2|EFR3A|ESRP1|EXO1|FAM135B|GPR137B|HMCN1|HSF1|KCNK9|KCNU1|KCNV1|KHDRBS3|KIAA1429|KMO|LINC00536|LSM1|MED30|MROH6|MYC|NIPAL2|NOTCH2|OBSCN|OR14K1|OR2C3|OR2L3|OR2T2|OR2T3|OR2T34|OXR1|PIK3CA|PKHD1L1|PLD5|PVT1|RAB11FIP1|RGS22|RGS7|RIMS2|RN7SL350P|RNF139|RYR2|SDC2|SHANK2|SLC52A2|SPTA1|TARBP1|TBC1D31|TMEM74|TP53|TRIM67|TRPS1|TTN|USH2A|VPS13B|ZNF250|ZNF496|ZNF623|ZP4
55,68,ACTN2|ADCK5|AHCTF1|ANO1|BAI1|CA14|CCND1|CDC42BPA|CDH1|CNBD1|COL22A1|CSMD1|CYP11B2|DCAF13|DNAH14|EFR3A|ENPP2|ERBB2|ERLIN2|FAM135B|FAM49B|FLG|FMN2|GATA3|GDF6|GRHL2|IRF2BP2|KCNQ3|KCNU1|LINC00536|MIR1208|MYEOV|NDUFB9|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2L8|OR2T2|OR2T3|OXR1|PCAT1|PCNXL2|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|PVT1|RECQL4|RGS7|RIMS2|RN7SL350P|RNF139|RUNX1T1|SDCCAG8|SLC26A7|SLC52A2|TARBP1|TFB2M|TP53|TRAPPC9|TRIM67|TTN|USH2A|ZFAT|ZFPM2|ZP4
56,58,ADCY8|ANO1|ASAP1|BAI1|CDC42BPA|CDH1|COL22A1|CSMD1|CSMD3|CTTN|CYP11B1|DCAF13|DNAH14|ERBB2|ERLIN2|ESRP1|FER1L6|FLG|GATA3|GDF6|HSF1|LRP12|MYEOV|NDUFB9|NID1|NOTCH2|OBSCN|OPLAH|OR13G1|OR14K1|OR2AK2|OR2T1|OR2T2|OR2T3|OR2T33|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|RAD54B|RIMS2|RN7SKP226|RYR2|SCRIB|SLC26A7|SLC52A2|SPTA1|TARBP1|TCHH|TFB2M|TP53|TTN|YWHAZ|ZNF670|ZP4
57,60,ANO1|ARC|BAALC|BAG4|BAI1|CCDC166|CEP170|CNBD1|COL22A1|CPQ|CSMD1|CSMD3|CYP11B1|DENND3|DNAH14|ERBB2|FAM135B|FLG2|FMN2|GATA3|GPR137B|GSDMC|HMCN1|KCNQ3|KHDRBS3|KIF26B|LINC00536|MYEOV|NDUFB9|NECAB1|NOTCH2|OBSCN|OR13G1|OR14K1|OR2AK2|OR2C3|OR2L3|OR2T1|OR2T2|ORAOV1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PLEKHF2|PVT1|RAD54B|RIMS2|RYR2|SDCCAG8|SHANK2|TACC1|TRAPPC9|TRIM67|TRPS1|UBR5|USH2A|VPS13B|ZNF670
58,72,ADAMTSL4|ADSS|AHCTF1|ANO1|ATP6V1C1|BAALC|BAG4|CCDC166|CCND1|CDH1|CDH17|CEP170|CNBD1|COL14A1|CPSF1|CSMD1|CSMD3|CTTN|CYP11B1|CYP11B2|DNAH14|ENPP2|ERBB2|FAM135B|FER1L6|FLG2|FMN2|GATA3|GPR137B|GRHL2|HEATR1|HHLA1|HMCN1|INTS8|KCNS2|KCNU1|LINC00536|MYEOV|NOTCH2|OR14A16|OR2AK2|OR2C3|OR2L13|OR2L3|OR2T1|OR2T2|OR2T3|OR2T33|ORAOV1|PCNXL2|PIK3CA|PLD5|RAD54B|RGS22|RIMS2|SDCCAG8|SETDB1|SPTA1|TARBP1|TARS2|TCHH|TMEM74|TP53|TRAPPC9|TRIM67|TRPS1|TTN|USH2A|WDYHV1|ZFPM2|ZNF670|ZP4
59,46,ACTN2|ADSS|AHCTF1|ANO1|ARC|ASH1L|ATAD2|CDC42BPA|CDH1|CSMD3|DNAH14|ENPP2|ERBB2|EXO1|FER1L6|GEM|GPR137B|IRF2BP2|KCNU1|KMO|LRP12|MTSS1|NOTCH2|OR14A16|OR14K1|OR2C3|OR2L13|OR2L3|OR2T2|OR2T33|ORAOV1|PCNXL2|PIK3CA|PKHD1L1|PLEKHA6|RAB11FIP1|RGS7|SHANK2|TARS2|TP53|TRAPPC9|TTN|USH2A|ZNF623|ZNF670|ZP4
60,67,ADCK5|ADCY8|AKT3|ANO1|ASH1L|ATP6V1C1|BCL9|CDC42BPA|CDH1|CNBD1|CSMD1|CYP11B1|DENND3|DNAH14|EMC2|ERBB2|ERLIN2|FAM135B|FLG|GATA3|GPR137B|GRHL2|HMCN1|HSF1|KCNU1|KHDRBS3|MAPK15|MATN2|MIR2053|MROH5|MTSS1|MYC|MYEOV|NDUFB9|NOTCH2|OR2C3|OR2L3|OR2T1|OR2T2|OR2T3|ORAOV1|OXR1|PARP10|PDE4DIP|PIK3CA|PLD5|PLEC|PPFIA1|PTK2|PVT1|RN7SL350P|RUNX1T1|SDC2|SETDB1|SHANK2|SLC52A2|TACC1|TCHH|TG|TP53|TTN|USH2A|WHSC1L1|WISP1|ZFPM2|ZP4|snoU13|ENSG00000238372.1
61,60,ADSS|AGO2|AHCTF1|ARID4B|CDC42BPA|CDH1|CEP170|COL14A1|CSMD1|CSMD3|CTTN|ENPP2|ESRP1|FAM135B|FLG|FLG2|FSBP|GATA3|GPR137B|HHLA1|HMCN1|KMO|LINC00536|LRP12|MAPK15|MATN2|MTBP|MYEOV|NOTCH2|OR14K1|OR2AK2|OR2C3|OR2T2|OR2T27|OR2T33|OR2T34|PDE4DIP|PIK3CA|PLD5|PLEKHF2|POU5F1B|PVT1|RAB11FIP1|RAD21|RECQL4|RIMS2|RN7SL350P|RYR2|SHANK2|SLC26A7|TACC1|TCHH|TFB2M|TMEM74|TP53|TRIQK|TRPS1|TTN|ZNF670|ZNF695
62,45,ADCK5|ADSS|AHCTF1|ANO1|BAI1|CEP170|COL22A1|CSMD1|CSMD3|CYP11B1|DNAH14|EMC2|ERBB2|FGFR1|GATA3|GEM|GPR137B|HHLA1|HMCN1|HSF1|MYEOV|NOTCH2|OR14K1|OR2AK2|OR2C3|OR2T1|OR2T2|OR2T3|PHF20L1|PIK3CA|PLD5|PLEKHA6|POP1|PROSC|RN7SL350P|RYR2|SLC52A2|SNX31|TG|TMEM65|TP53|TRIM67|UBR5|USH2A|snoU13|ENSG00000238901.1
63,50,ADSS|AHCTF1|ASH1L|CA14|CDH1|CEP170|CNBD1|CPQ|CSMD1|CSMD3|DENND3|DNAH14|ECM1|ERBB2|FMN2|GATA3|GSDMC|HMCN1|KIAA1429|MYEOV|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2T2|OR2T3|OR2T34|ORAOV1|PDE4DIP|PIK3CA|PLEKHA6|POU5F1B|PROSC|PVT1|RAB11FIP1|RUNX1T1|RYR2|SCCPDH|SETDB1|SHANK2|SLC26A7|SPTA1|TACC1|TCHH|TP53|TTN|USH2A|ZFAT|ZNF670|ZP4
64,65,ADSS|ARC|BAI1|BCL9|CDC42BPA|CDH1|CEP170|CNBD1|COL22A1|CPQ|CPSF1|CSMD1|CYP11B1|DENND3|DNAH14|EFR3A|EIF3H|ENPP2|EPPK1|ERBB2|EXO1|FAM135B|FER1L6|FLG|GATA3|GLI4|GPR137B|HMCN1|IRF2BP2|LINC00536|LSM1|MED30|MIR548A3|MYEOV|NCALD|NDUFB9|NOTCH2|OR14I1|OR2AK2|OR2C3|OR2T1|OR2T3|OR2T34|ORAOV1|PIK3CA|PKHD1L1|POU5F1B|RECQL4|RIMS2|RYR2|SYBU|TBC1D31|TCHH|TFB2M|TG|TMEM74|TMEM75|TP53|TRIM67|TRPS1|TTN|WHSC1L1|ZFAT|ZFPM2|ZNF496
65,47,ADCY8|ADSS|BCL9|CDC42BPA|CDH1|COL22A1|CSMD1|CSMD3|CYP11B1|DNAH14|ERLIN2|EXO1|FAM135B|GPR137B|GRHL2|HEATR1|HSF1|KMO|MYEOV|NOTCH2|OR2C3|OR2G2|OR2T2|OR2T3|OR2T34|OR2W3|ORAOV1|PIK3CA|PLEKHA6|PPFIA1|RAB11FIP1|RGS7|RYR2|SLC26A7|SLC30A8|SPTA1|TACC1|TARBP1|TFB2M|TP53|TRIM67|TTN|USH2A|VPS13B|ZNF496|ZNF670|ZP4
66,58,AHCTF1|ANGPT1|ARHGAP39|ASH1L|CA14|CSMD1|DPY19L4|EPPK1|ERBB2|ERLIN2|FER1L6|FLG|GATA3|GLI4|HHLA1|HMCN1|IRF2BP2|KCNK9|KCNQ3|KHDRBS3|LINC00536|MTSS1|MYEOV|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2L3|OR2T2|OR2T3|OR2T34|ORAOV1|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PPFIA1|RIMS2|RN7SL563P|RYR2|SCRIB|SETDB1|SHANK2|SLC26A7|SPTA1|TACC1|TARBP1|TARS2|TCHH|TFB2M|TP53|TTN|UBR5|USH2A|VPS13B|ZFPM2|ZNF670|ZP4
67,64,ACTN2|ADCY8|AHCTF1|ASAP1|ASH1L|BCL9|CDH1|CYP11B1|DNAH14|EFR3A|ENPP2|EPPK1|ERBB2|ERLIN2|FER1L6|FLG|GATA3|GDF6|GPR137B|HHLA1|HMCN1|KCNQ3|KCNU1|LYST|MIR1207|MYEOV|NCALD|NOTCH2|OR2C3|OR2L2|OR2T2|OR2T3|OR2T33|OXR1|PARP10|PCAT1|PDE4DIP|PIK3CA|PLD5|PLEC|PLEKHA6|PPFIA1|PVT1|RAD54B|RIMS2|SDCCAG8|SHANK2|SLC26A7|SNX31|SPTA1|TACC1|TARBP1|TBC1D31|TCHH|TG|TP53|TRAPPC9|TRPS1|TTN|USH2A|VPS13B|WISP1|ZFPM2|ZNF670
68,66,ABRA|ADSS|AKT3|ANO1|ASH1L|BAALC|BAG4|BAI1|BCL9|CCAT1|CNBD1|COL22A1|CSMD1|CSMD3|CYP11B1|DENND3|DNAH14|EFR3A|ERBB2|ERLIN2|FER1L6|FLG|FLG2|FMN2|GATA3|GDF6|GPR137B|KCNU1|KIAA1429|LRP12|MYC|MYEOV|NDUFB9|NOTCH2|OBSCN|OPLAH|OR14A16|OR14K1|OR2C3|OR2T2|OR2T34|ORAOV1|PCNXL2|PIK3CA|PLD5|PLEC|PLEKHA6|PPFIA1|PTDSS1|RN7SL563P|RYR2|SETDB1|SHANK2|TAF2|TARBP1|TCHH|TMEM67|TMEM74|TP53|TRIM67|TTN|UBR5|USH2A|ZFPM2|ZNF670|ZP4
69,73,ADCK5|AHCTF1|AKT3|BAI1|CA14|CDC42BPA|CHRM3|CNBD1|COA6|COL14A1|COL22A1|CPSF1|CSMD1|CSMD3|DENND3|DNAH14|EFR3A|EIF3H|ENPP2|ERLIN2|EXT1|FAM135B|FAM49B|FER1L6|FLG|FLG2|GATA3|GPR137B|HEATR1|HMCN1|HSF1|IRF2BP2|KCNU1|KIAA0196|LINC00536|MIR548AA1|MYEOV|NDUFB9|NOTCH2|OBSCN|OR14K1|OR2L13|OR2L3|OR2T2|OR2T3|OR2T34|ORAOV1|PCNXL2|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PLEKHF2|RAD21|RAD54B|RIMS2|RYR2|SLC26A7|SLC52A2|TACC1|TCHH|TFB2M|TMEM75|TP53|TRIM67|TRPS1|TTN|UBR5|WISP1|ZFAT|ZFPM2|ZNF670|snoU13|ENSG00000238372.1
70,72,ABRA|ACTN2|ADCY8|AHCTF1|ANKRD46|ARC|ARID4B|ASAP1|ATAD2|BAALC|CCDC166|CDH1|COL22A1|CPQ|CPSF1|CSMD1|ENPP2|EXT1|FAM49B|FLG|GATA3|GLI4|HHLA1|HMCN1|IRF2BP2|KCNU1|LINC00536|LY6D|MATN2|MIR30D|MIR548AA1|NDUFB9|NOTCH2|OC90|OR2AK2|OR2C3|OR2L3|OR2T2|OR2T3|OR2T33|OR2T34|PCAT1|PCNXL2|PDE4DIP|PDP1|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|PVT1|RIMS2|RNA5SP276|RNF139|RUNX1T1|RYR2|SLC52A2|SPTA1|SYBU|TBC1D31|TCHH|TMEM74|TP53|TRAPPC9|TRIB1|TRIQK|TTN|UBR5|ZFPM2|ZNF670|ZNF695|ZP4
71,55,ABRA|ANO1|ARHGAP39|BAG4|BAI1|CCDC166|CDH1|CNBD1|COL22A1|CSMD3|CYP11B1|DPY19L4|ERBB2|ERLIN2|GATA3|GPR137B|IRF2BP2|KCNU1|KIF26B|LRP12|LY6D|MIR30D|MIR599|MYEOV|NDUFB9|NLRP3|NOTCH2|NSMCE2|NUDCD1|OR2AK2|OR2C3|OR2L2|OR2T1|OR2T2|OR2T3|OR2T34|OXR1|PIK3CA|PLD5|PLEKHA6|PVT1|RECQL4|RN7SL350P|RNF139|RYR2|SDC2|SYBU|TAF2|TBC1D31|TRAPPC9|TRPS1|TTN|UBR5|ZFPM2|ZP4
72,79,ABRA|ACTN2|ADCY8|ANO1|ASAP1|BAI1|CASC7|CCDC166|CDH1|CNST|COL22A1|CSMD1|CYP11B1|DENND3|DPY19L4|EFR3A|EIF3H|ENPP2|ERBB2|ERLIN2|EXT1|FAM49B|FAM91A1|FER1L6|FGF19|FLG|FMN2|GATA3|GDF6|GLI4|GPR137B|GRHL2|HHLA1|HMCN1|HSF1|INTS8|IRF2BP2|KCNQ3|KCNU1|MIR30D|MTSS1|MYEOV|NDUFB9|NOTCH2|OBSCN|OR2C3|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PCNXL2|PDE4DIP|PIK3CA|PLD5|PLEC|RAB11FIP1|RAD54B|RECQL4|RIMS2|RN7SL563P|RNA5SP276|RUNX1T1|SHANK2|SLC26A7|SLC52A2|SNX31|SPTA1|SYBU|TARBP1|TBC1D31|TCHH|TMEM74|TMEM75|TP53|UBR5|USH2A|VPS13B|ZFPM2
73,67,ABRA|ACTN2|ADCY8|ADSS|AHCTF1|ANO1|ASH1L|BCL9|CDC42BPA|CDH1|COL14A1|CSMD1|CSMD3|DENND3|EFR3A|EMC2|ENPP2|EPPK1|ERBB2|ERLIN2|EXO1|FER1L6|FLG|GATA3|GSDMC|HSF1|INTS8|KCNU1|KIAA1429|MIR30D|MTBP|MYEOV|NDUFB9|OBSCN|OR14A16|OR2C3|OR2L13|OR2L3|OR2T1|OR2T2|OR2T3|OR2T33|PCAT1|PDE4DIP|PGBD2|PHF20L1|PIK3CA|PLEC|PLEKHA6|PTK2|RNA5SP276|RUNX1T1|SDCCAG8|SETDB1|SLC26A7|SPTA1|TARBP1|TBC1D31|TCHH|TMEM75|TP53|TRPS1|TTN|UBR5|ZNF496|ZNF670|snoU13|ENSG00000238687.1
