sample,tumor_expression,normal_mean,normal_sd_used,z_score,two_sided_gaussian_p,DEG_label,abs_z_ge_threshold,MPL_GISTIC,cis_SCNA_event,DEG_if_cis_SCNA_excluded
TCGA-BH-A0W3-01,0.7527,3.06646460176991,0.673992692165813,-3.4329223872366366,0.000597112998989695,1,1,-1,0,1
TCGA-BH-A8FZ-01,2.732,3.06646460176991,0.673992692165813,-0.4962436620716747,0.619722509293253,0,0,0,0,0
TCGA-C8-A12N-01,1.1866,3.06646460176991,0.673992692165813,-2.789146861116757,0.005284709472218145,0,0,0,0,0
TCGA-C8-A26W-01,2.1542,3.06646460176991,0.673992692165813,-1.3535229867825904,0.1758886115570772,0,0,0,0,0
TCGA-C8-A26X-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-D8-A27I-01,2.9303,3.06646460176991,0.673992692165813,-0.2020268221786767,0.8398957554347524,0,0,-1,0,0
TCGA-E2-A155-01,2.5614,3.06646460176991,0.673992692165813,-0.7493621335076083,0.4536389675911516,0,0,0,0,0
TCGA-E2-A15K-01,2.0228,3.06646460176991,0.673992692165813,-1.5484805902215208,0.12150663133213292,0,0,0,0,0
TCGA-E9-A1N9-01,2.4688,3.06646460176991,0.673992692165813,-0.8867523471944043,0.3752122484176803,0,0,1,0,0
TCGA-E9-A1NA-01,2.5007,3.06646460176991,0.673992692165813,-0.8394224571662312,0.4012322861821161,0,0,-1,0,0
TCGA-E9-A1R0-01,1.3325,3.06646460176991,0.673992692165813,-2.572675671301384,0.01009157270129815,0,0,0,0,0
TCGA-E9-A228-01,1.364,3.06646460176991,0.673992692165813,-2.5259392595180787,0.011538942953402414,0,0,-1,0,0
TCGA-EW-A1P8-01,2.3665,3.06646460176991,0.673992692165813,-1.0385344083192343,0.2990213247199263,0,0,1,0,0
TCGA-GM-A2DH-01,2.1098,3.06646460176991,0.673992692165813,-1.4193990719628684,0.15578270284042567,0,0,0,0,0
TCGA-GM-A2DK-01,1.6845,3.06646460176991,0.673992692165813,-2.050414815818099,0.040323968616767854,0,0,0,0,0
TCGA-GM-A2DN-01,1.7795,3.06646460176991,0.673992692165813,-1.9094637326620987,0.056202295967199084,0,0,0,0,0
TCGA-A2-A3Y0-01,1.9588,3.06646460176991,0.673992692165813,-1.6434371094003002,0.10029252744859514,0,0,1,0,0
TCGA-A7-A0CE-01,2.3487,3.06646460176991,0.673992692165813,-1.0649441902158319,0.28690118603919884,0,0,0,0,0
TCGA-AR-A24Z-01,1.688,3.06646460176991,0.673992692165813,-2.0452218811755096,0.04083298820497809,0,0,2,1,0
TCGA-B6-A0RM-01,1.9723,3.06646460176991,0.673992692165813,-1.6234072186360267,0.10450238261099223,0,0,0,0,0
TCGA-B6-A1KN-01,1.036,3.06646460176991,0.673992692165813,-3.0125914203093216,0.002590274031881718,1,1,-1,0,1
TCGA-D8-A146-01,2.4131,3.06646460176991,0.673992692165813,-0.9693941927921853,0.33234854866560964,0,0,-1,0,0
TCGA-D8-A1XM-01,0.9488,3.06646460176991,0.673992692165813,-3.1419696776904087,0.0016781541427011188,1,1,0,0,1
TCGA-E2-A1IJ-01,1.542,3.06646460176991,0.673992692165813,-2.2618414405520992,0.023707201466543638,0,0,0,0,0
TCGA-E2-A1LI-01,2.712,3.06646460176991,0.673992692165813,-0.5259175743150432,0.5989454776896046,0,0,1,0,0
TCGA-GM-A2DC-01,0.9082,3.06646460176991,0.673992692165813,-3.2022077195444467,0.00136378618503277,1,1,0,0,1
TCGA-GM-A2DM-01,1.808,3.06646460176991,0.673992692165813,-1.8671784077152986,0.061876677858045154,0,0,0,0,0
TCGA-OL-A5RZ-01,1.4277,3.06646460176991,0.673992692165813,-2.4314278490229504,0.01503944337210383,0,0,1,0,0
TCGA-A1-A0SE-01,2.7109,3.06646460176991,0.673992692165813,-0.5275496394884286,0.5978119545429643,0,0,0,0,0
TCGA-A2-A0EP-01,1.6551,3.06646460176991,0.673992692165813,-2.0940354668158507,0.03625682094849352,0,0,0,0,0
TCGA-A2-A0YT-01,0.9154,3.06646460176991,0.673992692165813,-3.191525111136834,0.001415238083646967,1,1,-1,0,1
TCGA-AC-A7VC-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,1,0,1
TCGA-BH-A0B0-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-BH-A0BF-01,1.1634,3.06646460176991,0.673992692165813,-2.8235685993190645,0.004749226142169531,1,1,-1,0,1
TCGA-BH-A0BT-01,1.5499,3.06646460176991,0.673992692165813,-2.2501202452159688,0.024441313260007057,0,0,0,0,0
TCGA-BH-A18J-01,0.643,3.06646460176991,0.673992692165813,-3.595683795891513,0.000323540602551728,1,1,0,0,1
TCGA-BH-A18Q-01,4.3194,3.06646460176991,0.673992692165813,1.8589747526844809,0.06303071712593583,0,0,0,0,0
TCGA-C8-A132-01,2.3083,3.06646460176991,0.673992692165813,-1.1248854929474361,0.26063756013943595,0,0,0,0,0
TCGA-C8-A1HN-01,1.4642,3.06646460176991,0.673992692165813,-2.3772729591788027,0.01744117632240274,0,0,0,0,0
TCGA-C8-A275-01,1.3306,3.06646460176991,0.673992692165813,-2.575494692964504,0.010009680937347748,0,0,0,0,0
TCGA-D8-A1JH-01,2.4581,3.06646460176991,0.673992692165813,-0.9026278902446063,0.36672341911245276,0,0,0,0,0
TCGA-D8-A1XO-01,2.1204,3.06646460176991,0.673992692165813,-1.403671898473883,0.16041657423878045,0,0,0,0,0
TCGA-D8-A1XR-01,1.8686,3.06646460176991,0.673992692165813,-1.7772664536178922,0.07552441030995977,0,0,-1,0,0
TCGA-D8-A1XU-01,1.6141,3.06646460176991,0.673992692165813,-2.154866986914756,0.031172244427826994,0,0,-1,0,0
TCGA-D8-A3Z6-01,0.6435,3.06646460176991,0.673992692165813,-3.5949419480854283,0.0003244639180414425,1,1,0,0,1
TCGA-E2-A152-01,1.5517,3.06646460176991,0.673992692165813,-2.2474495931140654,0.02461130859597636,0,0,0,0,0
TCGA-E9-A1RC-01,0.954,3.06646460176991,0.673992692165813,-3.1342544605071327,0.0017229137821123035,1,1,-1,0,1
TCGA-E9-A22E-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,1,0,1
TCGA-EW-A1OV-01,1.3902,3.06646460176991,0.673992692165813,-2.487066434479266,0.01288013440287149,0,0,1,0,0
TCGA-EW-A1OZ-01,0.6697,3.06646460176991,0.673992692165813,-3.556069123046616,0.00037644507180683646,1,1,-1,0,1
TCGA-EW-A1PE-01,2.3095,3.06646460176991,0.673992692165813,-1.1231050582128344,0.26139287812896767,0,0,-1,0,0
TCGA-HN-A2NL-01,1.1082,3.06646460176991,0.673992692165813,-2.9054685971107617,0.0036670364399897805,1,1,1,0,1
TCGA-3C-AAAU-01,2.1813,3.06646460176991,0.673992692165813,-1.3133148356928264,0.18907688145216905,0,0,0,0,0
TCGA-A2-A0T1-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-A7-A26F-01,2.74901697251,3.06646460176991,0.673992692165813,-0.470995654626197,0.6376438380012612,0,0,2,1,0
TCGA-AN-A0XR-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-AQ-A7U7-01,2.4934,3.06646460176991,0.673992692165813,-0.8502534351350611,0.3951841991480545,0,0,0,0,0
TCGA-AR-A24W-01,2.9386,3.06646460176991,0.673992692165813,-0.1897121485976785,0.8495347004921332,0,0,0,0,0
TCGA-AR-A2LH-01,1.4123,3.06646460176991,0.673992692165813,-2.454276761450344,0.014116828577176391,0,0,0,0,0
TCGA-BH-A0BS-01,1.0344,3.06646460176991,0.673992692165813,-3.014965333288792,0.00257008629344726,1,1,0,0,1
TCGA-BH-A1ET-01,2.2099,3.06646460176991,0.673992692165813,-1.2708811411848089,0.20377093648675662,0,0,0,0,0
TCGA-C8-A12P-01,2.0362,3.06646460176991,0.673992692165813,-1.5285990690184643,0.12636386696603943,0,0,1,0,0
TCGA-C8-A12V-01,2.4523,3.06646460176991,0.673992692165813,-0.9112333247951829,0.3621724488056388,0,0,1,0,0
TCGA-D8-A1XK-01,0.9382,3.06646460176991,0.673992692165813,-3.1576968511793932,0.0015902083104141775,1,1,1,0,1
TCGA-D8-A27W-01,1.2083,3.06646460176991,0.673992692165813,-2.7569506663327026,0.00583431532163415,0,0,-1,0,0
TCGA-E2-A14X-01,3.9091,3.06646460176991,0.673992692165813,1.2502144430117768,0.21122122219251618,0,0,1,0,0
TCGA-EW-A1P0-01,1.2934,3.06646460176991,0.673992692165813,-2.6306881697371693,0.008521218227558837,0,0,0,0,0
TCGA-LL-A73Z-01,1.2783,3.06646460176991,0.673992692165813,-2.6530919734809126,0.007975813491170006,0,0,1,0,0
TCGA-WT-AB41-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-A1-A0SF-01,0.7543,3.06646460176991,0.673992692165813,-3.4305484742571672,0.000602362337461976,1,1,1,0,1
TCGA-A1-A0SK-01,2.4202,3.06646460176991,0.673992692165813,-0.9588599539457897,0.3376293011810006,0,0,0,0,0
TCGA-A2-A0CR-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-A7-A4SE-01,2.7073,3.06646460176991,0.673992692165813,-0.532890943692235,0.5941090746361456,0,0,1,0,0
TCGA-AC-A3QQ-01,2.73595730592,3.06646460176991,0.673992692165813,-0.4903722246421629,0.6238705274937498,0,0,0,0,0
TCGA-AN-A0XT-01,2.469,3.06646460176991,0.673992692165813,-0.8864556080719707,0.3753720653068474,0,0,0,0,0
TCGA-AN-A0XU-01,4.4255,3.06646460176991,0.673992692165813,2.0163948571355514,0.04375870286794994,0,0,1,0,0
TCGA-AR-A0U4-01,2.3597,3.06646460176991,0.673992692165813,-1.048623538481979,0.2943514179354196,0,0,1,0,0
TCGA-AR-A1AS-01,1.6184,3.06646460176991,0.673992692165813,-2.1484870957824316,0.031675080426389626,0,0,0,0,0
TCGA-AR-A24N-01,2.0665,3.06646460176991,0.673992692165813,-1.483643091969761,0.13790363097011976,0,0,0,0,0
TCGA-AR-A5QP-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-B6-A0X0-01,0.901,3.06646460176991,0.673992692165813,-3.2128903279520595,0.001314064569540291,1,1,0,0,1
TCGA-BH-A0BM-01,0.9437,3.06646460176991,0.673992692165813,-3.1495365253124676,0.0016352966533046537,1,1,0,0,1
TCGA-BH-A0BO-01,2.696,3.06646460176991,0.673992692165813,-0.549656704109738,0.5825548582346574,0,0,0,0,0
TCGA-BH-A0DV-01,0.5347,3.06646460176991,0.673992692165813,-3.7563680306893525,0.00017239711466879152,1,1,1,0,1
TCGA-BH-A8G0-01,2.5228,3.06646460176991,0.673992692165813,-0.806632784137309,0.4198780798624381,0,0,0,0,0
TCGA-C8-A138-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-D8-A1JB-01,2.4249,3.06646460176991,0.673992692165813,-0.9518865845685979,0.3411545039159441,0,0,-1,0,0
TCGA-D8-A1JI-01,2.0582,3.06646460176991,0.673992692165813,-1.4959577655507592,0.13466466148288062,0,0,-1,0,0
TCGA-D8-A1JJ-01,1.851,3.06646460176991,0.673992692165813,-1.8033794963920564,0.07132863544165742,0,0,-1,0,0
TCGA-E2-A107-01,1.6636,3.06646460176991,0.673992692165813,-2.081424054112419,0.03739510886090034,0,0,-1,0,0
TCGA-E2-A10C-01,0.8231,3.06646460176991,0.673992692165813,-3.328470216139979,0.0008732434157143331,1,1,-1,0,1
TCGA-E9-A244-01,3.2171,3.06646460176991,0.673992692165813,0.22349707939122715,0.8231486559556921,0,0,-1,0,0
TCGA-GM-A2DO-01,1.9445,3.06646460176991,0.673992692165813,-1.6646539566543088,0.09598181392946635,0,0,0,0,0
TCGA-LD-A7W6-01,2.2705,3.06646460176991,0.673992692165813,-1.1809691870874024,0.2376149641720035,0,0,0,0,0
TCGA-PL-A8LV-01,3.2243,3.06646460176991,0.673992692165813,0.23417968779883996,0.8148454834184387,0,0,1,0,0
TCGA-A2-A0EW-01,2.6652,3.06646460176991,0.673992692165813,-0.5953545289645257,0.5516065135074735,0,0,0,0,0
TCGA-A2-A0YH-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-A7-A2KD-01,2.5363,3.06646460176991,0.673992692165813,-0.7866028933730352,0.4315143649944499,0,0,0,0,0
TCGA-AR-A0TT-01,0.733,3.06646460176991,0.673992692165813,-3.4621511907963542,0.0005358760310313826,1,1,-1,0,1
TCGA-BH-A0B3-01,2.7226,3.06646460176991,0.673992692165813,-0.5101904008260584,0.6099180765460084,0,0,1,0,0
TCGA-BH-A0E9-01,3.0525,3.06646460176991,0.673992692165813,-0.020719218371694857,0.9834696382666211,0,0,-1,0,0
TCGA-BH-A18I-01,1.5229,3.06646460176991,0.673992692165813,-2.2901800267445163,0.02201088277158525,0,0,0,0,0
TCGA-BH-A1F2-01,1.3664,3.06646460176991,0.673992692165813,-2.5223783900488743,0.01165642465915802,0,0,-1,0,0
