tree_id,num_rows_in_tree_output,num_nonzero_nodes,unique_SGA_used,duplicated_nonzero_node_rows,root_node,depth,terminal_zero_rows,bootstrap_DEG_0,bootstrap_DEG_1,total_count
191,19,9,9,0,COL22A1,6,10,553,226,779
192,19,9,9,0,C8orf37,6,10,553,226,779
193,29,14,13,1,RIMS2,7,15,553,226,779
194,25,12,12,0,RIMS2,6,13,553,226,779
195,39,19,19,0,RIMS2,8,20,553,226,779
196,13,6,6,0,MYEOV,5,7,553,226,779
197,31,15,15,0,SPTA1,7,16,553,226,779
198,39,19,17,2,CDC42BPA,8,20,553,226,779
199,33,16,16,0,MYEOV,6,17,553,226,779
200,33,16,15,1,ZFPM2,7,17,553,226,779
