gene,scna_count,scna_frequency,mutation_count,mutation_frequency,combined_count,combined_frequency,selected_top500
LEFTY1,88,0.11296534017971759,1,0.0012836970474967907,89,0.11424903722721438,False
PEA15,88,0.11296534017971759,1,0.0012836970474967907,89,0.11424903722721438,False
PIGM,88,0.11296534017971759,1,0.0012836970474967907,89,0.11424903722721438,False
RMDN1,88,0.11296534017971759,1,0.0012836970474967907,89,0.11424903722721438,False
SH2D1B,88,0.11296534017971759,1,0.0012836970474967907,89,0.11424903722721438,False
TAGLN2,88,0.11296534017971759,1,0.0012836970474967907,89,0.11424903722721438,False
SYT2,87,0.1116816431322208,5,0.006418485237483954,89,0.11424903722721438,False
KLHL12,87,0.1116816431322208,3,0.0038510911424903724,89,0.11424903722721438,False
CAPN8,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
FCRL6,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
FCRLB,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
LCE1A,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
LCE2C,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
SERTAD4,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
SMCP,87,0.1116816431322208,2,0.0025673940949935813,89,0.11424903722721438,False
TRAF3IP3,86,0.110397946084724,4,0.005134788189987163,89,0.11424903722721438,False
ADAR,86,0.110397946084724,3,0.0038510911424903724,89,0.11424903722721438,False
AGPAT6,86,0.110397946084724,3,0.0038510911424903724,89,0.11424903722721438,False
C1orf74,86,0.110397946084724,3,0.0038510911424903724,89,0.11424903722721438,False
GPATCH2,86,0.110397946084724,3,0.0038510911424903724,89,0.11424903722721438,False
HAX1,86,0.110397946084724,3,0.0038510911424903724,89,0.11424903722721438,False
LINGO4,86,0.110397946084724,3,0.0038510911424903724,89,0.11424903722721438,False
TUBD1,85,0.10911424903722722,7,0.008985879332477536,89,0.11424903722721438,False
SPATA17,85,0.10911424903722722,4,0.005134788189987163,89,0.11424903722721438,False
CLTC,84,0.10783055198973042,10,0.012836970474967908,89,0.11424903722721438,False
KCNK2,84,0.10783055198973042,5,0.006418485237483954,89,0.11424903722721438,False
TAF1A,84,0.10783055198973042,5,0.006418485237483954,89,0.11424903722721438,False
KCNH1,83,0.10654685494223363,7,0.008985879332477536,89,0.11424903722721438,False
CD1E,82,0.10526315789473684,7,0.008985879332477536,89,0.11424903722721438,False
LMOD1,82,0.10526315789473684,7,0.008985879332477536,89,0.11424903722721438,False
CACNA1S,80,0.10269576379974327,10,0.012836970474967908,89,0.11424903722721438,False
ARHGEF11,79,0.10141206675224647,11,0.014120667522464698,89,0.11424903722721438,False
S100A10,88,0.11296534017971759,1,0.0012836970474967907,88,0.11296534017971759,False
ADIPOR1,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
C1orf111,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
FCGR2C,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
GBAP1,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
KRTCAP2,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
LEFTY2,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
MIR205HG,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
MIR4260,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
MIR554,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
MIR92B,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
MTX1,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
MYOG,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
NBPF18P,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
PYCR2,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
RNA5SP264,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
RNY4P25,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
RPL31P11,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
SNORA44,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
TMEM183A,88,0.11296534017971759,0,0.0,88,0.11296534017971759,False
GINS4,87,0.1116816431322208,3,0.0038510911424903724,88,0.11296534017971759,False
LCE2B,87,0.1116816431322208,3,0.0038510911424903724,88,0.11296534017971759,False
MRPL9,87,0.1116816431322208,3,0.0038510911424903724,88,0.11296534017971759,False
C1orf189,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
C1orf204,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
C1orf43,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
C1orf68,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
G0S2,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
GOLGA7,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
LCE2A,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
LCE2D,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
LCE3B,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
LCE4A,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
LMX1A,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
LYPLAL1,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
NHLH1,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
OAZ3,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
RABIF,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
S100A11,87,0.1116816431322208,1,0.0012836970474967907,88,0.11296534017971759,False
FAM177B,86,0.110397946084724,3,0.0038510911424903724,88,0.11296534017971759,False
SHE,86,0.110397946084724,3,0.0038510911424903724,88,0.11296534017971759,False
CELF3,86,0.110397946084724,2,0.0025673940949935813,88,0.11296534017971759,False
GPR37L1,86,0.110397946084724,2,0.0025673940949935813,88,0.11296534017971759,False
SPRR2B,86,0.110397946084724,2,0.0025673940949935813,88,0.11296534017971759,False
UCK2,86,0.110397946084724,2,0.0025673940949935813,88,0.11296534017971759,False
UHMK1,86,0.110397946084724,2,0.0025673940949935813,88,0.11296534017971759,False
VMP1,86,0.110397946084724,2,0.0025673940949935813,88,0.11296534017971759,False
IKBKB,85,0.10911424903722722,4,0.005134788189987163,88,0.11296534017971759,False
PTPN7,85,0.10911424903722722,4,0.005134788189987163,88,0.11296534017971759,False
AP3M2,85,0.10911424903722722,3,0.0038510911424903724,88,0.11296534017971759,False
PGLYRP3,85,0.10911424903722722,3,0.0038510911424903724,88,0.11296534017971759,False
SFRP1,85,0.10911424903722722,3,0.0038510911424903724,88,0.11296534017971759,False
OR10J1,84,0.10783055198973042,4,0.005134788189987163,88,0.11296534017971759,False
PPM1D,84,0.10783055198973042,4,0.005134788189987163,88,0.11296534017971759,False
POLB,83,0.10654685494223363,5,0.006418485237483954,88,0.11296534017971759,False
PTPN14,82,0.10526315789473684,6,0.007702182284980745,88,0.11296534017971759,False
NES,79,0.10141206675224647,10,0.012836970474967908,88,0.11296534017971759,False
FCRL5,78,0.10012836970474968,11,0.014120667522464698,88,0.11296534017971759,False
LCE3C,87,0.1116816431322208,1,0.0012836970474967907,87,0.1116816431322208,False
PEX19,87,0.1116816431322208,1,0.0012836970474967907,87,0.1116816431322208,False
ADAM3A,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
C8orf4,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
CRCT1,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
LCE3A,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
LCE3E,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
LCE5A,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
LINC00302,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
MIR190B,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
MIR4654,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
MIR556,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
RN7SL466P,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
RNA5SP61,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
SLAMF8,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
SNORA58|ENSG00000201129.1,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
SNORD64|ENSG00000212161.1,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
snoU13|ENSG00000239054.1,87,0.1116816431322208,0,0.0,87,0.1116816431322208,False
APCS,86,0.110397946084724,2,0.0025673940949935813,87,0.1116816431322208,False
IRF6,86,0.110397946084724,2,0.0025673940949935813,87,0.1116816431322208,False
NEUROD2,86,0.110397946084724,2,0.0025673940949935813,87,0.1116816431322208,False
RORC,86,0.110397946084724,2,0.0025673940949935813,87,0.1116816431322208,False
LCE1B,86,0.110397946084724,1,0.0012836970474967907,87,0.1116816431322208,False
LCE1C,86,0.110397946084724,1,0.0012836970474967907,87,0.1116816431322208,False
LCE1E,86,0.110397946084724,1,0.0012836970474967907,87,0.1116816431322208,False
PGLYRP4,86,0.110397946084724,1,0.0012836970474967907,87,0.1116816431322208,False
S100A8,86,0.110397946084724,1,0.0012836970474967907,87,0.1116816431322208,False
CRP,85,0.10911424903722722,3,0.0038510911424903724,87,0.1116816431322208,False
IGHMBP2,85,0.10911424903722722,3,0.0038510911424903724,87,0.1116816431322208,False
RPS6KB1,85,0.10911424903722722,3,0.0038510911424903724,87,0.1116816431322208,False
TMCO1,85,0.10911424903722722,3,0.0038510911424903724,87,0.1116816431322208,False
AIDA,85,0.10911424903722722,2,0.0025673940949935813,87,0.1116816431322208,False
RNFT1,85,0.10911424903722722,2,0.0025673940949935813,87,0.1116816431322208,False
ALDH9A1,84,0.10783055198973042,3,0.0038510911424903724,87,0.1116816431322208,False
OR10J5,84,0.10783055198973042,3,0.0038510911424903724,87,0.1116816431322208,False
PLAT,84,0.10783055198973042,3,0.0038510911424903724,87,0.1116816431322208,False
THEM5,84,0.10783055198973042,3,0.0038510911424903724,87,0.1116816431322208,False
HEATR6,83,0.10654685494223363,7,0.008985879332477536,87,0.1116816431322208,False
CREB3L4,83,0.10654685494223363,4,0.005134788189987163,87,0.1116816431322208,False
