Gene_pair,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,beta_total
RIMS2_0___PIK3CA,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5
TRIM67_0___OR2C3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,5
PPFIA1_1___OBSCN,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5
FAM135B_0___TRPS1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5
OR2T2_0___ANO1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,5
TTN_0___INTS8,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
TRIM67_0___ORAOV1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,5
ZFPM2_0___EFR3A,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,5
MYEOV_0___AHCTF1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5
ADCK5_0___OR2T3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,5
MYEOV_0___ANO1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5
CNBD1_1___PIK3CA,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
COL22A1_0___TP53,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,5
SPTA1_0___GATA3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,5
MYEOV_0___COL22A1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,5
PKHD1L1_0___CDH1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,5
MYEOV_0___OR2L3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
EFR3A_0___RAD54B,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5
CSMD1_0___GPR137B,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,5
ZFPM2_0___BAALC,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5
TP53_0___HMCN1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,5
ZFPM2_0___ANO1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,5
OXR1_0___CDH1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,5
PIK3CA_1___TP53,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5
GPR137B_0___PIK3CA,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5
TTN_0___DNAH14,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5
