Tree,unique_gene_count,genes
11,67,ACTN2|ADCY8|ADSS|AHCTF1|ANO1|BAALC|BAI1|BCL9|C8orf86|CDH1|COL14A1|CPSF1|CSMD1|CSMD3|CTTN|DNAH14|EIF3H|ENPP2|ERBB2|FAM135B|FER1L6|FMN2|GATA3|GLI4|GPR137B|HMCN1|HSF1|INTS8|IRF2BP2|KCNQ3|MIR3150B|MYC|NDUFB9|NOTCH2|OBSCN|OR2AK2|OR2C3|OR2T1|OR2T3|OR2T33|OR2T34|ORAOV1|PCNXL2|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEKHF2|PVT1|RAD21|RAD54B|RIMS2|RNF139|RUNX1T1|RYR2|SLC26A7|SYBU|TACC1|TCHH|TFB2M|TP53|TRIM67|TRPS1|TTN|USH2A|ZFPM2|ZP4
12,52,AKT3|ASH2L|ATAD2|BAG4|CDC42BPA|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|EFR3A|ERBB2|ERLIN2|ESRP1|EXO1|FGF4|FLG|FLG2|GATA3|GLI4|GPR137B|GRHL2|HMCN1|KCNK9|KHDRBS3|KIAA1429|LRRC6|MYC|MYEOV|NOTCH2|OBSCN|OC90|OR14A16|OR2G2|OR2T1|OR2T2|OR2T33|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PPFIA1|PTK2|RAB11FIP1|RGS22|RIMS2|SHANK2|SPTA1|TARBP1|TG|TP53|TTN
13,68,ACTN2|ADCK5|AGO2|AHCTF1|ANO1|ARID4B|ASH1L|BAALC|BAG4|BAI1|CA14|CDH1|CNBD1|COL22A1|CSMD1|CSMD3|DNAH14|ECM1|ERBB2|FAM84B|FER1L6|FLG2|FMN2|GATA3|GPR137B|HMCN1|INTS8|IRF2BP2|KCNQ3|KCNU1|KHDRBS3|MATN2|MTBP|MYEOV|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2L3|OR2T33|ORAOV1|OXR1|PDE4DIP|PIK3CA|PLEC|PLEKHA6|PLEKHF2|PPFIA1|PVT1|RAB11FIP1|RIMS2|RNF139|RYR2|SLC52A2|SPTA1|TBC1D31|TCHH|TG|TMEM71|TP53|TRIM67|TSPYL5|TTN|USH2A|WHSC1L1|ZFAT|ZNF670|snoU13|ENSG00000238372.1
14,71,ABRA|ADCK5|ADSS|AHCTF1|AKT3|ANO1|ASH1L|BAALC|BAI1|BCL9|CDH1|CNBD1|COL14A1|COL22A1|CSMD1|CSMD3|DENND3|DNAH14|EFR3A|ERBB2|ERLIN2|FER1L6|FLG2|GATA3|GPR137B|GSDMC|HEATR1|HHLA1|HMCN1|IRF2BP2|KCNU1|LINC00536|MYC|MYEOV|NDUFB9|NOTCH2|OBSCN|OR14K1|OR2AK2|OR2T1|OR2T2|OR2T3|ORAOV1|PCNXL2|PGBD2|PIK3CA|PLD5|PLEC|PLEKHA6|RAB11FIP1|RIMS2|RYR2|SHANK2|SPTA1|TAF2|TARBP1|TBC1D31|TCHH|TFB2M|TP53|TP53INP1|TRAPPC9|TRIM67|TRPS1|TSNARE1|TTN|UBR5|VPS13B|WHSC1L1|ZFPM2|snoU13|ENSG00000238372.1
15,54,AHCTF1|ANO1|ASH1L|ATP6V1C1|C1orf101|CDC42BPA|CDH1|CEP170|CSMD1|CSMD3|ERBB2|ERLIN2|FLG|GATA3|GLI4|GPR137B|HEATR1|HMCN1|IRF2BP2|KCNQ3|MYC|MYEOV|NOTCH2|OBSCN|OR14K1|OR2L3|OR2T2|OR2T3|OR2T33|OR2T34|OXR1|PIK3CA|PKHD1L1|PPFIA1|PTK2|RIMS2|RN7SL350P|RYR2|SHANK2|SIPA1L2|SPTA1|TARBP1|TARS2|TMEM74|TP53|TRPS1|TTN|UBR5|USH2A|VPS13B|WISP1|ZFAT|ZNF670|snoU13|ENSG00000238901.1
16,77,ABRA|ADCY8|ADSS|AGO2|ANO1|ASH1L|BAALC|BAI1|BCL9|CA14|CCDC166|CDH1|CNBD1|COL14A1|CSMD1|CSMD3|CYP11B1|DENND3|DNAH14|EFR3A|ENPP2|ERBB2|ERLIN2|FER1L6|FGF3|FGF4|FGFR1|FLG|GATA3|GEM|GPR124|HMCN1|HSF1|KCNQ3|KCNU1|MATN2|MYEOV|NDRG1|NDUFB9|NIPAL2|NLRP3|NOTCH2|OR2AK2|OR2C3|OR2G2|OR2L3|OR2T1|OR2T2|OR2T33|ORAOV1|OXR1|PDE4DIP|PIK3CA|PLEC|PVT1|RAD54B|RIMS2|RN7SL350P|RUNX1T1|RYR2|SETDB1|SLC26A7|SLC52A2|SPTA1|TARBP1|TCHH|TFB2M|TG|TP53|TRIM67|TTN|UBR5|USH2A|ZFAT|ZFPM2|ZNF703|ZP4
17,61,ADCK5|ADCY8|ARC|ARID4B|CASC7|CDH1|COL14A1|COL22A1|CSMD1|CSMD3|CYP11B1|DNAH14|ERBB2|FAM135B|FAM49B|FLG|GDF6|GLI4|GRHL2|HHLA1|HSF1|INTS8|KCNQ3|KCNU1|KCNV1|LAPTM4B|MIR30D|MIR548AA1|MTSS1|MYC|MYEOV|NOV|OR2AK2|OR2T1|OR2T2|OR2T33|ORAOV1|OXR1|PCAT1|PDE4DIP|PIK3CA|PLD5|PLEC|PLEKHF2|PVT1|RIMS2|RNA5SP276|RNF139|RUNX1T1|SLC30A8|SLC39A4|SNTB1|SNX31|TACC1|TARBP1|TBC1D31|TP53|TRIQK|UBR5|USH2A|ZFPM2
18,70,ABRA|ADRB3|AGO2|AHCTF1|ARID4B|ATAD2|BAALC|BAI1|CDC42BPA|CDH1|COL22A1|CSMD1|CSMD3|CTTN|DENND3|DNAH14|DPY19L4|EFR3A|EPPK1|ERBB2|FAM135B|FGFR1|FLG|GATA3|GPT|GRHL2|HMCN1|KCNU1|KCNV1|LINC00861|MIR2053|MIR548A3|MTBP|MTSS1|MYEOV|NAPRT1|NDUFB9|NOTCH2|NOV|NSMCE2|OBSCN|ODF1|OR14A16|OR2T1|OXR1|PDE4DIP|PIK3CA|PKHD1L1|PLEKHA6|PLEKHF2|RAB11FIP1|RAD54B|RGS22|RIMS2|RUNX1T1|SLC30A8|SNTB1|TARBP1|TMEM74|TP53|TRAPPC9|TRPS1|TTN|UBR5|USH2A|VPS13B|WHSC1L1|ZFPM2|ZNF623|ZP4
19,77,ADCK5|ADCY8|AHCTF1|ARID4B|ARNT|ASH1L|BAALC|BAG4|BAI1|BCL9|CDC42BPA|CDH1|CDH17|CEP170|CSMD1|CSMD3|CYP11B1|DCAF13|DPY19L4|EFR3A|ERLIN2|ESRP1|FAM49B|FGF19|FLG|FLG2|FMN2|GATA3|GLI4|GPR137B|HHLA1|HMCN1|INTS8|LRRC6|LY6D|LYST|MATN2|NLRP3|NOTCH2|NOV|OBSCN|OR14K1|OR2AK2|OR2C3|OR2L3|OR2M5|OR2T1|OR2T2|OR2T27|OR2T3|OR2T34|ORAOV1|PARP10|PCNXL2|PIK3CA|PLEC|PLEKHA6|PLEKHF2|PVT1|RAB11FIP1|RAD21|RAD54B|RECQL4|RYR2|SDC2|SHARPIN|SLC52A2|SPTA1|TARBP1|TARS2|TG|TMEM74|TP53|TRIM67|USH2A|ZNF670|ZNF695
20,68,ADCK5|ADCY8|AHCTF1|ARID4B|ASAP1|ASH1L|ATP6V1C1|CDH1|CEP170|COL14A1|CPQ|CSMD1|CSMD3|DENND3|DNAH14|EFR3A|EIF3H|ERBB2|ERLIN2|FBXL6|GATA3|GLI4|GPR137B|GPR20|GRHL2|HMCN1|HSF1|KCNU1|MIR661|MTSS1|MYC|MYEOV|NCALD|NOTCH2|OR2C3|OR2T2|OR2T3|OR2T34|OR2T5|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PPFIA1|PTK2|PVT1|RAB11FIP1|RAD54B|RGS7|RIMS2|RNA5SP276|SLC30A8|SLC52A2|SNTB1|SPTA1|TAF2|TBC1D31|TCHH|TG|TP53|TRIM67|TRPS1|TTN|UBR5|WHSC1L1|ZNF670
